model_name,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic Regression,0.8897521528957842,0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.9359158297465328
Random Forest,0.888896764181317,0.842391304347826,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.9294595887135342
