mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
4.116349744796753,0.8522951154755377,0.7875475883483887,0.07524472892354779,500,5,2,0.7,16,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.7, 'classifier__max_depth': 16, 'classifier__class_weight': 'balanced_subsample'}",0.782312925170068,0.7551020408163265,0.8095238095238095,0.8503401360544217,0.821917808219178,0.8038393439567608,0.032741958120317154,15,0.8125,0.7472527472527473,0.8354430379746836,0.9041095890410958,0.8160919540229885,0.8230794656583031,0.05025769682840095,15,0.7926829268292683,0.8395061728395061,0.8148148148148148,0.8148148148148148,0.8765432098765432,0.8276723878349894,0.028577237319095308,14,0.8024691358024691,0.7906976744186046,0.825,0.8571428571428571,0.8452380952380952,0.8241095525204052,0.02499227345553973,15,0.8540337711069419,0.8004115226337448,0.8834642723531613,0.9408903853348297,0.8881291547958214,0.8733858212448998,0.04599034102121631,11
1.974228811264038,0.41071495338433034,1.4085135459899902,0.2214802014068888,300,5,1,0.7,12,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 0.7, 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced'}",0.8027210884353742,0.7551020408163265,0.8095238095238095,0.8571428571428571,0.815068493150685,0.8079116578138106,0.032537141762744984,12,0.8354430379746836,0.7472527472527473,0.8354430379746836,0.9054054054054054,0.813953488372093,0.8274995433959225,0.050633122450899945,12,0.8048780487804879,0.8395061728395061,0.8148148148148148,0.8271604938271605,0.8641975308641975,0.8301114122252334,0.02063754565510229,13,0.8198757763975155,0.7906976744186046,0.825,0.864516129032258,0.8383233532934131,0.8276825866283583,0.02410793250945526,11,0.8547842401500938,0.788627010849233,0.8778526000748222,0.9427609427609428,0.8894586894586893,0.8706966966587564,0.05016994019293873,15
4.0303325176239015,0.6069746546315317,0.7333736896514893,0.07810598953844795,500,10,4,sqrt,16,balanced_subsample,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16, 'classifier__class_weight': 'balanced_subsample'}",0.7959183673469388,0.7619047619047619,0.8299319727891157,0.8707482993197279,0.8493150684931506,0.8215636939707389,0.0386682382181948,9,0.8421052631578947,0.75,0.868421052631579,0.8974358974358975,0.8470588235294118,0.8410042073509565,0.04950930318135916,10,0.7804878048780488,0.8518518518518519,0.8148148148148148,0.8641975308641975,0.8888888888888888,0.8400481782595604,0.03818924891734307,8,0.810126582278481,0.7976878612716763,0.8407643312101911,0.8805031446540881,0.8674698795180723,0.8393103597865018,0.03186233940505677,9,0.8615384615384615,0.813692480359147,0.9014216236438458,0.9504302282080059,0.8976258309591643,0.8849417249417248,0.045487108631483815,8
1.651329469680786,0.06928738076275279,0.7353068351745605,0.3020502526647713,200,10,4,sqrt,8,balanced_subsample,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 8, 'classifier__class_weight': 'balanced_subsample'}",0.7959183673469388,0.7619047619047619,0.8231292517006803,0.8571428571428571,0.8493150684931506,0.8174820613176778,0.035134139916152024,10,0.8333333333333334,0.75,0.8666666666666667,0.9054054054054054,0.8554216867469879,0.8421654184304787,0.051667796254587686,9,0.7926829268292683,0.8518518518518519,0.8024691358024691,0.8271604938271605,0.8765432098765432,0.8301415236374586,0.03099112421021753,10,0.8125,0.7976878612716763,0.8333333333333334,0.864516129032258,0.8658536585365854,0.8347781964347707,0.027291491744838057,10,0.8660412757973733,0.8105125327347549,0.8980546202768425,0.9504302282080059,0.9018043684710351,0.8853686050976023,0.0461325510415952,7
1.5361098289489745,0.1589891693623802,0.5292407512664795,0.03915053226579824,200,2,4,0.7,,balanced,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 0.7, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.7755102040816326,0.7482993197278912,0.8231292517006803,0.8571428571428571,0.8287671232876712,0.8065697511881466,0.03920387246250506,13,0.8024691358024691,0.7391304347826086,0.8571428571428571,0.8947368421052632,0.8333333333333334,0.8253625206333062,0.05262394858356509,13,0.7926829268292683,0.8395061728395061,0.8148148148148148,0.8395061728395061,0.8641975308641975,0.8301415236374586,0.024385485091566992,10,0.7975460122699386,0.7861271676300579,0.8354430379746836,0.8662420382165605,0.8484848484848485,0.8267686209152177,0.030366689993440076,13,0.8553470919324577,0.7890011223344556,0.888327721661055,0.9378974934530491,0.8879392212725545,0.8717025301307144,0.049048595315342794,14
2.9704027652740477,0.10914980575037556,0.8719492435455323,0.10427192548811821,300,10,2,log2,8,balanced_subsample,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'log2', 'classifier__max_depth': 8, 'classifier__class_weight': 'balanced_subsample'}",0.8095238095238095,0.7687074829931972,0.8299319727891157,0.891156462585034,0.8424657534246576,0.8283570962631629,0.040144897324726876,5,0.8552631578947368,0.7582417582417582,0.868421052631579,0.9113924050632911,0.8536585365853658,0.8493953820833463,0.050134210708697224,1,0.7926829268292683,0.8518518518518519,0.8148148148148148,0.8888888888888888,0.8641975308641975,0.8424872026498044,0.03452065593288353,7,0.8227848101265823,0.8023255813953488,0.8407643312101911,0.9,0.8588957055214724,0.844954085650719,0.033318588342713715,6,0.8647279549718574,0.8151889263000374,0.8969322858211747,0.9515525626636737,0.8987654320987655,0.8854334323711017,0.04482122859884412,6
2.333195209503174,0.1364626881375486,0.8458742618560791,0.07452722088074151,300,2,4,sqrt,12,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced'}",0.8163265306122449,0.7619047619047619,0.8299319727891157,0.8571428571428571,0.8493150684931506,0.8229242381884261,0.03371469822717823,8,0.8571428571428571,0.75,0.868421052631579,0.8947368421052632,0.8554216867469879,0.8451444877253376,0.049604949994341056,6,0.8048780487804879,0.8518518518518519,0.8148148148148148,0.8395061728395061,0.8765432098765432,0.8375188196326409,0.025741717797632666,9,0.8301886792452831,0.7976878612716763,0.8407643312101911,0.8662420382165605,0.8658536585365854,0.8401473136960593,0.02547198862977236,8,0.8630393996247654,0.8127572016460906,0.8980546202768425,0.9500561167227833,0.8970560303893638,0.8841926737319691,0.04526831188966368,10
4.307978725433349,0.09236451757113186,0.8038395881652832,0.03965815025859591,500,5,4,log2,8,balanced,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 8, 'classifier__class_weight': 'balanced'}",0.8163265306122449,0.7619047619047619,0.8367346938775511,0.891156462585034,0.8424657534246576,0.8297176404808498,0.04186738732674425,4,0.8481012658227848,0.7555555555555555,0.88,0.9113924050632911,0.8452380952380952,0.8480574643359453,0.05214632142401134,3,0.8170731707317073,0.8395061728395061,0.8148148148148148,0.8888888888888888,0.8765432098765432,0.8473652514302922,0.030379176815997066,6,0.8322981366459627,0.7953216374269005,0.8461538461538461,0.9,0.8606060606060606,0.8468759361665541,0.03429741053400627,4,0.8621013133208255,0.810512532734755,0.8974934530490086,0.9523007856341189,0.9014245014245014,0.8847665172326419,0.046963190741919444,9
1.6567198276519775,0.3243059208952319,0.5404316902160644,0.02719454400876251,200,10,2,0.7,12,balanced,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 0.7, 'classifier__max_depth': 12, 'classifier__class_weight': 'balanced'}",0.7755102040816326,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.8287671232876712,0.8065697511881466,0.0346950877469081,13,0.8024691358024691,0.7555555555555555,0.8354430379746836,0.9054054054054054,0.8255813953488372,0.8248909060173901,0.04879453961110777,14,0.7926829268292683,0.8395061728395061,0.8148148148148148,0.8271604938271605,0.8765432098765432,0.8301415236374586,0.027884598463705446,10,0.7975460122699386,0.7953216374269005,0.825,0.864516129032258,0.8502994011976048,0.8265366359853402,0.02765611885712431,14,0.8551594746716698,0.792368125701459,0.8907594463150018,0.9388327721661055,0.8879392212725545,0.873011808025358,0.04835765700788104,13
2.2570469856262205,0.0624737205686172,0.5044416427612305,0.03721906099445795,300,10,1,log2,16,balanced,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 16, 'classifier__class_weight': 'balanced'}",0.8163265306122449,0.7687074829931972,0.8231292517006803,0.8979591836734694,0.8493150684931506,0.8310875034945486,0.04237110521458193,2,0.8571428571428571,0.7473684210526316,0.8571428571428571,0.9125,0.8554216867469879,0.8459151644170667,0.0538284257470733,5,0.8048780487804879,0.8765432098765432,0.8148148148148148,0.9012345679012346,0.8765432098765432,0.8548027702499248,0.03792814168168712,1,0.8301886792452831,0.8068181818181818,0.8354430379746836,0.906832298136646,0.8658536585365854,0.8490271711422761,0.03448356018596558,2,0.8705440900562852,0.8163112607557051,0.8941264496820053,0.9526748971193415,0.9050332383665717,0.8877379871959817,0.04461871308141514,2
